,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
62,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,170cm,59kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
63,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,181cm,81kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
64,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,170cm,67kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
65,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,172cm,79kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
66,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,181cm,80kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
67,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,172cm,68kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
68,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,188cm,84kg,큼,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
69,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,여자,167cm,52kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
70,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,175cm,69kg,큼,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
71,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
72,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,178cm,83kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
73,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,174cm,64kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
74,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,181cm,88kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
75,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,여자,165cm,72kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
76,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,170cm,64kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
77,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,180cm,70kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
78,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,175cm,64kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
79,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,180cm,65kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
80,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,174cm,75kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
81,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,170cm,67kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
82,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,173cm,75kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
83,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,167cm,63kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
84,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,178cm,76kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
85,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,171cm,69kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
86,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,173cm,80kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
