,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
67,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,173cm,63kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
68,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,174cm,54kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
69,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,168cm,67kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
70,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,170cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
71,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,163cm,60kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
72,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,174cm,62kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
73,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,152cm,50kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
74,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,176cm,76kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
75,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,177cm,74kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
76,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,165cm,55kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
77,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,158cm,58kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
78,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,178cm,71kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
79,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,164cm,50kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
80,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,167cm,69kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
81,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,174cm,78kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
82,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,183cm,85kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
83,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,170cm,62kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
84,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,176cm,98kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
85,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,181cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
86,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,165cm,54kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
87,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,178cm,78kg,작음,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
88,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,178cm,78kg,작음,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
89,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,177cm,90kg,작음,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
90,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,173cm,69kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
91,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,160cm,63kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
92,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,178cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
93,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,173cm,60kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
94,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,172cm,65kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
95,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,160cm,42kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
96,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,179cm,73kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
97,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,184cm,97kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
98,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,180cm,57kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
99,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,168cm,58kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
